Site,Type,Proxy,Reference,DOI,Lon0Ma,Lat0Ma,Lon56Ma,Lat56Ma,Lon56MaShift,Lat56MaShift,DepthOriginal,Depth,SourcePaleodepth,SourceDOI,Mask,Assessment,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,mg_bcp_red,Glassy,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x
DSDP 307,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,161.005,28.5877,-164.45,24.05,-164.45,24.05,5520,5520,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 315,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-158.526,4.171,-141,-6.4,-139,-6.4,4120,4120,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 316,caco3,caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-157.128,0.0907,-137.75,-10.05,-141,-10.05,4020,4020,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",0,,,0,,,,,,,,,
DSDP 401,caco3,caco3,"Bornemann et al., 2014",https://doi.org/10.1016/j.epsl.2014.03.017,-8.810333333,47.4275,-10.95,41.8,-10.95,41.8,1800,1800,"Pak & Miller, 1992",https://doi.org/10.1029/92PA01234,NorthAtlantic,this study,71.9,2.2,3,49.175,8.169,11,,,,,,,
DSDP 527,caco3,caco3,"Thomas et al., 1999",https://doi.org/10.1029/1999PA900031,1.76,-28.04,-17.75,-34.95,-17.75,-34.95,3400,3400,"Thomas & Shackleton, 1996",https://doi.org/10.1144/gsl.sp.1996.101.01.20,SouthAtlantic,this study,83,2.9,6,1.6,1.2,6,,,,,,,
DSDP 549,caco3,caco3,"Thomas & Bralower, 2005",https://doi.org/10.1016/j.margeo.2005.02.009,-13.1,49.09,-20.01,41.8,-19,41.8,1500,1500,"Winguth et al., 2012",https://doi.org/10.1130/G32529.1,NorthAtlantic,"Panchunk et al., 2008",51,,,1,,,,,,,,,
DSDP 577,caco3,caco3,"Bralower et al., 2002, Quillévéré et al., 2002",https://doi.org/10.1029/2001PA000662; https://doi.org/10.1016/S0031-0182(02)00275-4,157.72,32.44,-156.55,27.45,-156.55,27.45,2200,2200,"Takeda & Kaiho, 2007",https://doi.org/10.1016/j.palaeo.2007.02.026,Pacific,"Panchunk et al., 2008",96,,,,,,,,,,,,
ODP 1001,caco3,caco3,"Bralower et al., 1997",http://dx.doi.org/10.1130/0091-7613(1997)025<0963:HRROTL>2.3.CO;2,-74.92,15.75,-69.15,12.9,-71,12,1500,1500,"Thomas et al., 1999",http://dx.doi.org/10.1029/1999PA900031,Caribbean,"Panchunk et al., 2008",45,,,0,,,,,,,,,
ODP 1050,caco3,caco3,"Rudnicki et al., 2001",http://dx.doi.org/10.1029/2000pa000551,-76.235,30.09994,-61.25,30.15,-61.25,30.15,1800-2800,2300,"Norris et al., 1998; Rudnicki et al., 2001",http://dx.doi.org/10.2973/odp.proc.ir.171b.105.1998; http://dx.doi.org/10.1029/2000pa000551,NorthAtlantic,"Panchunk et al., 2008",63,,,57,,,,,,,,,
ODP 1051,caco3,caco3,"Rudnicki et al., 2001",http://dx.doi.org/10.1029/2000pa000551,-76.36,30.05,-61.37,30.1,-61.37,29,1500,1500,"Norris et al., 1998",http://dx.doi.org/10.2973/odp.proc.ir.171b.105.1998,NorthAtlantic,"Panchunk et al., 2008",56,,,52,,,,,,,,,
ODP 1135,caco3,caco3,"Shipboard Scientific Party, 2000",http://doi.org/10.2973/odp.proc.ir.183.103.2000,84.27353,-59.69991,76.55,-60.55,76.55,-60.55,1000-2000,1500,"Panchuk et al., 2008",http://dx.doi.org/10.1130/G24474A.1,Southern,"Panchunk et al., 2008",95,,,,,,,,,,,,
