Site,DepthOri,Depth,SourcePaleodepth,,Mask,assessment,Type,File,doi,lonbci,latbci,Proxy,lon0,lat0,lonb,latb,lonh,lath,lonbc,latbc,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,,prePETMmean,prePETMstd,prePETMn,peakPETM,peakPETMstd,peakPETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,Glassy,mg_bcp_red,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x,JESS NOTES
Siberia Well 10,,,,,,deepMIP,TEX86,"Frieling et al., 2014",https://doi.org/10.1130/G35724.1,49.99,51.25,tex86,73.52654722,53.50176944,64.55,51.25,45,55.25,49.99,51.25,0.505,0.025,8,0.682,0.015,3,,nan,nan,0,0.7,,1,0.67,0.036,4,nan,nan,0,,,nan,nan,nan,nan,nan,
Wilson Lake,,,,,,deepMIP,d18O,"Zachos et al., 2006",https://doi.org/10.1130/G22522.1,-58.40841,39.65,d18o_morozovella,-75.05,39.65,-46.95,35.25,-56.45,38.65,-51,35.25,,,,-3.77,0.26,14,,nan,nan,0,-4.347,,2,-3.762,0.336,42,nan,nan,0,glassy,,-0.48941,-0.4295,-0.5346,-0.4007,-0.6612,
Wilson Lake,,,,,,deepMIP,d18O,"Zachos et al., 2006",https://doi.org/10.1130/G22522.1,-58.40841,39.65,d18o_acarinina,-75.05,39.65,-46.95,35.25,-56.45,38.65,-51,35.25,,,,-3.46,0.29,17,,nan,nan,0,-3.838,,2,-3.085,0.421,57,-2.4175,0.221415898,4,glassy,,-0.48941,-0.4295,-0.5346,-0.4007,-0.6612,
Wilson Lake,,,,,,deepMIP,TEX86,"Zachos et al., 2006",https://doi.org/10.1130/G22522.1,-58.40841,39.65,tex86,-75.05,39.65,-46.95,35.25,-56.45,38.65,-51,35.25,0.7,0.015,24,0.89,0.023,17,,0.698,0.013,5,0.933,,1,0.891,0.023,16,0.77,0.07257,4,,,nan,,,,,
Ancora,,125,,,,deepMIP,TEX86,"Elling et al., 2019",https://doi.org/10.1038/s41467-019-12553-3,-58.20742639,39.69221528,tex86,-74.84901639,39.69221528,-46.95,35.25,-56.45,38.65,-51,35.25,0.728,0.022,14,0.909,0.02,19,,0.738,0.019,12,0.928,0.021,19,0.928,0.021,19,0.757142857,0.027516229,7,,,nan,nan,nan,nan,nan,
Ancora,,,,,,deepMIP,d18O,"Babila et al., 2014",https://doi.org/10.7282/T3Z31WRT,-58.20742639,39.69221528,d18o_morozovella,-74.84901639,39.69221528,-46.95,35.25,-56.45,38.65,-51,35.25,,,,-3.86,0.2,10,,,,,-3.857,0.2,10,-3.857,0.2,10,,,,glassy,-0.477467,-0.48343,-0.4707,-0.5658,-0.422,-0.794,
Ancora,,,,,,deepMIP,d18O,"Babila et al., 2014",https://doi.org/10.7282/T3Z31WRT,-58.20742639,39.69221528,d18o_acarinina,-74.84901639,39.69221528,-46.95,35.25,-56.45,38.65,-51,35.25,,,,-3.33,0.19,26,,,,,-3.308,0.215,27,-3.308,0.215,27,,,,glassy,-0.477467,-0.48343,-0.4707,-0.5658,-0.422,-0.794,
Ancora,,125,,,,deepMIP,MgCa,"Babila et al., 2014",https://doi.org/10.7282/T3Z31WRT,-58.20742639,39.69221528,mgca_morozovella:reductive,-74.84901639,39.69221528,-46.95,35.25,-56.45,38.65,-51,35.25,,,,4.29,0.73,19,,,,,4.363,0.815,23,4.363,0.815,23,,,,glassy,mg_red,,,,,,
Ancora,,125,,,,deepMIP,MgCa,"Babila et al., 2014",https://doi.org/10.7282/T3Z31WRT,-58.20742639,39.69221528,mgca_acarinina:reductive,-74.84901639,39.69221528,-46.95,35.25,-56.45,38.65,-51,35.25,,,,3.4,0.44,24,,,,,3.415,0.442,25,3.415,0.442,25,,,,glassy,mg_red,,,,,,
ZS,,,,,Tibet,this study,TEX86,"Jin et al., 2023",https://doi.org/10.1016/j.gloplacha.2023.104289 ,69,0.1,tex86,88.52,28.28,,,76.85,-1.45,,,0.72744097,0.016530352,3,0.804294715,,1,,,,,,,,,,,,,,,,,,,,,
DSDP 164,5220,5220,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-131.55,3.2,caco3,-161.517,13.2017,-121.55,3.25,-127.1,-1,-131.55,3.25,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 166,4880,4880,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-145.35,-4.25,caco3,-175.08,3.7617,-135.35,-4.25,-140.35,-9.45,-145.35,-4.25,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
DSDP 168,5000,5000,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,Pacific,"Panchunk et al., 2008",caco3,"Van Andel, 1975",https://doi.org/10.1016/0012-821X(75)90086-2,-155.15,3,caco3,173.598,10.7033,-145.15,4.25,-150.65,-1.55,-155.15,4.25,0,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,
